ent,mun,est,icpth
5,12,4,77323.059
5,12,5,10.746
5,13,1,54582.495
5,13,2,5895.628
5,13,3,44885.05
5,13,4,64279.94
5,13,5,10.801
5,14,1,54969.194
5,14,2,1554.203
5,14,3,52412.757
5,14,4,57525.631
5,14,5,2.827
5,15,1,49758.633
5,15,2,5207.853
5,15,3,41192.478
5,15,4,58324.789
5,15,5,10.466
5,16,1,55040.472
5,16,2,5773.45
5,16,3,45543.991
5,16,4,64536.953
5,16,5,10.489
5,17,1,57582.721
5,17,2,2304.276
5,17,3,53792.524
5,17,4,61372.918
5,17,5,4.002
5,18,1,79222.61
5,18,2,3557.429
5,18,3,73371.161
5,18,4,85074.06
5,18,5,4.49
5,19,1,60389.735
5,19,2,5045.853
5,19,3,52090.046
5,19,4,68689.423
5,19,5,8.355
5,20,1,54215.607
5,20,2,2858.89
5,20,3,49513.151
5,20,4,58918.063
5,20,5,5.273
5,21,1,54174.655
5,21,2,5684.609
5,21,3,44824.305
5,21,4,63525.006
5,21,5,10.493
5,22,1,75063.056
5,22,2,3676.105
5,22,3,69016.401
5,22,4,81109.71
5,22,5,4.897
5,23,1,41107.729
5,23,2,4304.822
5,23,3,34026.927
5,23,4,48188.53
5,23,5,10.472
5,24,1,54574.421
5,24,2,4383.904
5,24,3,47363.541
5,24,4,61785.301
5,24,5,8.033
5,25,1,83370.394
5,25,2,6083.574
5,25,3,73363.805
5,25,4,93376.982
5,25,5,7.297
5,26,1,54885.242
5,26,2,4619.076
5,26,3,47287.537
5,26,4,62482.946
5,26,5,8.416
5,27,1,83315.719
5,27,2,3516.658
5,27,3,77531.332
5,27,4,89100.107
5,27,5,4.221
5,28,1,68320.244
5,28,2,4278.514
5,28,3,61282.714
5,28,4,75357.774
5,28,5,6.262
5,29,1,63756.339
5,29,2,5436.375
5,29,3,54814.298
5,29,4,72698.38
5,29,5,8.527
5,30,1,87963.557
5,30,2,2523.586
5,30,3,83812.628
5,30,4,92114.486
5,30,5,2.869
5,31,1,64106.629
5,31,2,6692.001
5,31,3,53099.267
5,31,4,75113.992
5,31,5,10.439
5,32,1,66009.837
5,32,2,4683.043
5,32,3,58306.917
5,32,4,73712.757
5,32,5,7.094
5,33,1,52091.839
5,33,2,4740.919
5,33,3,44293.72
5,33,4,59889.957
5,33,5,9.101
5,34,1,50503.909
5,34,2,5416.425
5,34,3,41594.684
5,34,4,59413.135
5,34,5,10.725
5,35,1,75846.733
5,35,2,3360.12
5,35,3,70319.827
5,35,4,81373.638
5,35,5,4.43
5,36,1,44462.504
5,36,2,2911.831
5,36,3,39672.969
5,36,4,49252.039
5,36,5,6.549
5,37,1,48202.536
5,37,2,5024.444
5,37,3,39938.061
5,37,4,56467.011
5,37,5,10.424
5,38,1,55877.95
5,38,2,5833.109
5,38,3,46283.34
5,38,4,65472.559
5,38,5,10.439
6,0,1,69320.736
6,0,2,1483.393
6,0,3,66880.771
6,0,4,71760.7
6,0,5,2.14
6,1,1,54328.246
6,1,2,2407.114
6,1,3,50368.896
6,1,4,58287.595
6,1,5,4.431
6,2,1,74724.602
6,2,2,3963.325
6,2,3,68205.513
6,2,4,81243.691
6,2,5,5.304
6,3,1,53536.339
6,3,2,1781.484
6,3,3,50606.058
6,3,4,56466.619
6,3,5,3.328
6,4,1,53183.589
6,4,2,3405.376
6,4,3,47582.243
6,4,4,58784.935
6,4,5,6.403
6,5,1,65039.313
6,5,2,4107.582
6,5,3,58282.941
6,5,4,71795.685
6,5,5,6.316
6,6,1,49340.587
6,6,2,3971.847
6,6,3,42807.481
6,6,4,55873.693
6,6,5,8.05
6,7,1,72135.664
6,7,2,2392.254
6,7,3,68200.757
6,7,4,76070.571
6,7,5,3.316
6,8,1,60812.615
6,8,2,5690.045
6,8,3,51453.323
6,8,4,70171.906
6,8,5,9.357
6,9,1,63038.945
6,9,2,2916.838
6,9,3,58241.174
6,9,4,67836.716
6,9,5,4.627
6,10,1,73161.023
6,10,2,2943.281
6,10,3,68319.756
6,10,4,78002.29
6,10,5,4.023
7,0,1,39844.829
7,0,2,1293.897
7,0,3,37716.558
7,0,4,41973.1
7,0,5,3.247
7,1,1,34587.235
7,1,2,2870.94
7,1,3,29864.959
7,1,4,39309.51
7,1,5,8.301
7,2,1,37377.453
7,2,2,3103.361
7,2,3,32272.878
7,2,4,42482.028
7,2,5,8.303
7,3,1,39492.839
7,3,2,4125.482
7,3,3,32707.025
7,3,4,46278.653
7,3,5,10.446
7,4,1,24541.758
7,4,2,2021.278
7,4,3,21217.051
7,4,4,27866.465
7,4,5,8.236
7,5,1,30094.808
7,5,2,2506.8
7,5,3,25971.489
7,5,4,34218.127
7,5,5,8.33
7,6,1,27601.832
7,6,2,2888.868
7,6,3,22850.067
7,6,4,32353.597
7,6,5,10.466
7,7,1,26162.959
7,7,2,2744.707
7,7,3,21648.317
7,7,4,30677.6
7,7,5,10.491
7,8,1,32810.043
7,8,2,2688.919
7,8,3,28387.165
7,8,4,37232.921
7,8,5,8.195
7,9,1,34231.044
7,9,2,355.583
7,9,3,33646.162
7,9,4,34815.925
7,9,5,1.039
7,10,1,24961.462
7,10,2,2630.143
7,10,3,20635.262
7,10,4,29287.663
7,10,5,10.537
7,11,1,24099.153
7,11,2,2530.169
7,11,3,19937.396
7,11,4,28260.91
7,11,5,10.499
7,12,1,40122.867
7,12,2,4173.858
7,12,3,33257.481
7,12,4,46988.252
7,12,5,10.403
7,13,1,33832.376
7,13,2,2801.293
7,13,3,29224.659
7,13,4,38440.092
7,13,5,8.28
7,14,1,25784.71
7,14,2,2742.854
7,14,3,21273.116
7,14,4,30296.303
7,14,5,10.638
7,15,1,33946.118
7,15,2,2824.808
7,15,3,29299.723
7,15,4,38592.513
7,15,5,8.321
7,16,1,38666.005
7,16,2,3223.767
7,16,3,33363.381
7,16,4,43968.629
7,16,5,8.337
7,17,1,44199.334
7,17,2,3625.685
7,17,3,38235.613
7,17,4,50163.055
7,17,5,8.203
7,18,1,26447.525
7,18,2,2218.737
7,18,3,22798.028
7,18,4,30097.022
7,18,5,8.389
7,19,1,46491.29
7,19,2,3868.418
7,19,3,40128.309
7,19,4,52854.272
7,19,5,8.321
7,20,1,31179.404
7,20,2,3252.887
7,20,3,25828.881
7,20,4,36529.927
7,20,5,10.433
7,21,1,37721.578
7,21,2,2161.238
7,21,3,34166.658
7,21,4,41276.498
7,21,5,5.729
7,22,1,23729.091
7,22,2,2539.727
7,22,3,19551.611
7,22,4,27906.571
7,22,5,10.703
7,23,1,29460.302
7,23,2,2389.569
7,23,3,25529.811
7,23,4,33390.794
7,23,5,8.111
7,24,1,24813.554
7,24,2,2794.319
7,24,3,20217.309
7,24,4,29409.8
7,24,5,11.261
7,25,1,30305.951
7,25,2,3177.476
7,25,3,25079.468
7,25,4,35532.434
7,25,5,10.485
7,26,1,22694.702
7,26,2,2448.632
7,26,3,18667.06
7,26,4,26722.343
7,26,5,10.789
7,27,1,48054.128
7,27,2,4611.001
7,27,3,40469.706
7,27,4,55638.55
7,27,5,9.595
7,28,1,30622.372
7,28,2,3211.366
7,28,3,25340.146
